type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,FOS,NM_005252.2,8357.183333333332,4.259101097682426,0.18845710273189792,22.59984386866804,4.3490668816565013e-113,2.6790251991004047e-110
Endogenous,NR4A1,NM_173157.1,1382.6277777777777,3.377575004355432,0.17652355236712913,19.13384904769443,1.3196142573580644e-81,4.0644119126628386e-79
Endogenous,NR4A3,NM_173198.1,265.8833333333333,2.6048868694851204,0.17528281730422654,14.861050897898306,5.899247784792584e-50,1.211312211810744e-47
Endogenous,KLF4,NM_004235.4,1016.2277777777778,1.6864830081006827,0.13764664110284316,12.252264164155093,1.6337018487230115e-34,2.5159008470334375e-32
Endogenous,ITGA7,NM_002206.1,271.9888888888889,1.7565374196569212,0.1470172098829282,11.947835366047796,6.663834398834747e-33,8.209843979364408e-31
Endogenous,FLNC,NM_001127487.1,400.02222222222224,1.8847177346628512,0.16973747618015758,11.103721918561059,1.2032643095662587e-28,1.235351357821359e-26
Endogenous,SPRY1,NM_005841.1,514.6666666666666,1.3028509765184249,0.1246957668994258,10.448237409448293,1.492736004299075e-25,1.313607683783186e-23
Endogenous,IGF1,NM_000618.3,862.2722222222222,1.7792912112169408,0.1726885994768302,10.303466567031078,6.796694982550636e-25,5.2334551365639895e-23
Endogenous,SOCS3,NM_003955.3,1324.85,1.68254423657776,0.16564541294166168,10.157505763050208,3.068253045467118e-24,2.1000487511197164e-22
Endogenous,JUN,NM_002228.3,1485,1.4232600625392013,0.1419428066195096,10.02699676324125,1.1599099354378285e-23,7.145045202297023e-22
Endogenous,GADD45B,NM_015675.2,2105.2166666666667,1.2270363198987653,0.12281241035771796,9.991142721853224,1.6664938601095627e-23,9.33236561661355e-22
Endogenous,TSPAN7,NM_004615.3,203.59444444444443,1.4944682944430503,0.1546221525382965,9.665292261876276,4.234096215858051e-22,2.1735027241404662e-20
Endogenous,STAT1,NM_007315.2,4402.077777777778,-1.4709141573283921,0.15340983296391222,-9.58813479494764,8.969172171872412e-22,4.250007736825697e-20
Endogenous,POLR2D,NM_004805.3,722.8444444444444,-0.664182112849623,0.07297558460437953,-9.101429148534194,8.915087505713817e-20,3.9226385025140796e-18
Endogenous,H2AFX,NM_002105.2,715.0944444444444,-0.886976498708185,0.09879749226051748,-8.977722798563866,2.7642848642533983e-19,1.1351996509200624e-17
Endogenous,RUNX1T1,NM_004349.2,517.95,1.2579957806480366,0.14119098360769103,8.909887504881087,5.108437028713176e-19,1.966748256054573e-17
Endogenous,CDC6,NM_001254.3,545.6666666666666,-1.7974588747228832,0.2029092513364279,-8.858437271263979,8.114387637029703e-19,2.940272226123704e-17
Endogenous,PDGFD,NM_025208.4,545.55,1.2343747660907207,0.14133962193906613,8.733395131217206,2.4713985445629068e-18,8.4576750191708365e-17
Endogenous,SFRP4,NM_003014.2,2941.483333333333,1.7148530769939931,0.2018213634554952,8.496885798574764,1.9474486499650603e-17,6.313833517781458e-16
Endogenous,NGFR,NM_002507.1,567.1888888888889,1.4621982974557473,0.17224426517677047,8.489097131652688,2.0824861772434078e-17,6.414057425909696e-16
Endogenous,DNMT3A,NM_022552.3,1002.0222222222222,-0.5926359093792966,0.07039775834306347,-8.418391768829538,3.816875559827954e-17,1.1196168308828665e-15
Endogenous,CCNE2,NM_057735.1,215.4777777777778,-1.3067270447321544,0.16204261417391458,-8.064095061621819,7.378033291019295e-16,2.0658493214854024e-14
Endogenous,LIFR,NM_002310.3,652.5111111111111,1.1283309629901053,0.14038665160128835,8.037309460123561,9.18325385802357e-16,2.4595149463228347e-14
Endogenous,HELLS,NM_018063.3,441.3,-1.0476920148950917,0.135862341798726,-7.711423202517741,1.2442232201402234e-14,3.1935062650265735e-13
Endogenous,ETS2,NM_005239.4,1595.0444444444445,0.8217651587216465,0.10668875640535672,7.7024532519566105,1.3347845647160075e-14,3.2889091674602426e-13
Endogenous,SOX17,NM_022454.3,172.7888888888889,0.9825029558907356,0.12817482174284503,7.665335067615031,1.7836493852927183e-14,4.225877005155056e-13
Endogenous,DKK2,NM_014421.2,106.89444444444445,1.2283004628230592,0.161220839037463,7.618745009369651,2.5615390585829485e-14,5.844103926248504e-13
Endogenous,SMARCA4,NM_003072.3,1786.161111111111,-0.6409812075408434,0.08501977254721098,-7.5392016273027584,4.7285738510825355e-14,1.0202138583101397e-12
