ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
GO:0071900,regulation of protein serine/threonine kinase activity,80/374,496/18493,3.4306331778414485e-49,1.6134267835388333e-45,7.453501977962895e-46,80,bp,NAC,10252/3479/4616/990/80310/2146/2064/1844/10253/1647/2247/1028/1616/84231/9088/836/4221/207/4763/10125/10912/891/890/1026/898/7124/5518/993/7422/5576/6850/4214/387/3082/3265/1030/7477/5781/5594/2074/995/2255/5291/81848/6423/8517/51776/7074/1050/9020/5894/5605/11213/3553/595/958/3480/7474/652/2690/7314/9175/7128/4254/5155/6464/23624/6233/25/1956/25759/23533/5294/655/6422/896/1850/5979/3845/1847,SPRY1/IGF1/GADD45B/CDC6/PDGFD/EZH2/ERBB2/DUSP2/SPRY2/GADD45A/FGF2/CDKN1C/DAXX/TRAF7/PKMYT1/CASP3/MEN1/AKT1/NF1/RASGRP1/GADD45G/CCNB1/CCNA2/CDKN1A/CCNE1/TNF/PPP2R1A/CDC25A/VEGFA/PRKAR2A/SYK/MAP3K1/RHOA/HGF/HRAS/CDKN2B/WNT7B/PTPN11/MAPK1/ERCC6/CDC25C/FGF10/PIK3CB/SPRY4/SFRP2/IKBKG/MAP3K20/TIAM1/CEBPA/MAP3K14/RAF1/MAP2K2/IRAK3/IL1B/CCND1/CD40/IGF1R/WNT5A/BMP4/GHR/UBB/MAP3K13/TNFAIP3/KITLG/PDGFB/SHC1/CBLC/RPS27A/ABL1/EGFR/SHC2/PIK3R5/PIK3CG/BMP7/SFRP1/CCND3/DUSP8/RET/KRAS/DUSP5
hsa04151,PI3K-Akt signaling pathway,89/344,354/7844,2.7301911705924165e-45,6.497854986009951e-43,2.356586063037665e-43,89,kg,NAC,3164/3679/3479/80310/4804/2064/2247/8516/8503/1147/5008/2335/2885/1017/1969/4893/207/9586/3694/6696/1026/898/5618/1978/2252/5518/7422/6850/4846/1277/7097/1278/4915/2264/2932/3082/3265/1944/55970/1019/7060/2475/5594/5296/4602/1286/3695/2255/5291/10110/2788/3911/3680/148327/8517/6654/4233/5970/7184/63923/3560/3690/5894/5605/3667/7248/595/3480/2690/284/5578/7157/4254/3559/5155/4790/1956/5295/23533/208/5294/3909/4609/3691/896/2261/3655/10000/3845,NR4A1/ITGA7/IGF1/PDGFD/NGFR/ERBB2/FGF2/ITGA8/PIK3R3/CHUK/OSM/FN1/GRB2/CDK2/EPHA2/NRAS/AKT1/CREB5/ITGB6/SPP1/CDKN1A/CCNE1/PRLR/EIF4EBP1/FGF7/PPP2R1A/VEGFA/SYK/NOS3/COL1A1/TLR2/COL1A2/NTRK2/FGFR4/GSK3B/HGF/HRAS/EFNA3/GNG12/CDK4/THBS4/MTOR/MAPK1/PIK3R2/MYB/COL4A4/ITGB7/FGF10/PIK3CB/SGK2/GNG7/LAMA5/ITGA9/CREB3L4/IKBKG/SOS1/MET/RELA/HSP90B1/TNN/IL2RB/ITGB3/RAF1/MAP2K2/IRS1/TSC1/CCND1/IGF1R/GHR/ANGPT1/PRKCA/TP53/KITLG/IL2RA/PDGFB/NFKB1/EGFR/PIK3R1/PIK3R5/AKT2/PIK3CG/LAMA3/MYC/ITGB4/CCND3/FGFR3/ITGA6/AKT3/KRAS
hsa04010,MAPK signaling pathway,81/344,295/7844,3.4853036723671267e-44,4.147511370116881e-42,1.504183690179497e-42,81,kg,NAC,2353/3164/2318/3479/3725/4616/80310/4804/2064/1844/1647/27092/2247/784/4615/1147/1616/2885/1969/5601/836/4893/207/4763/10125/10912/5881/3303/2252/7124/7422/3554/3925/4915/783/2264/7048/4214/3082/3265/1944/55970/5594/994/2255/2122/781/8517/6654/51776/785/4233/4137/5970/5534/9020/5894/5605/4772/3553/3480/284/5578/7157/5924/9175/5532/4254/5155/4790/1956/3310/208/23542/4609/2261/5533/10000/1850/3845/1847,FOS/NR4A1/FLNC/IGF1/JUN/GADD45B/PDGFD/NGFR/ERBB2/DUSP2/GADD45A/CACNG4/FGF2/CACNB3/MYD88/CHUK/DAXX/GRB2/EPHA2/MAPK9/CASP3/NRAS/AKT1/NF1/RASGRP1/GADD45G//HSPA1A/FGF7/TNF/VEGFA/IL1R1/STMN1/NTRK2/CACNB2/FGFR4/TGFBR2/MAP3K1/HGF/HRAS/EFNA3/GNG12/MAPK1/CDC25B/FGF10/MECOM/CACNA2D1/IKBKG/SOS1/MAP3K20/CACNB4/MET/MAPT/RELA/PPP3R1/MAP3K14/RAF1/MAP2K2/NFATC1/IL1B/IGF1R/ANGPT1/PRKCA/TP53/RASGRF2/MAP3K13/PPP3CB/KITLG/PDGFB/NFKB1/EGFR/HSPA6/AKT2/MAPK8IP2/MYC/FGFR3/PPP3CC/AKT3/DUSP8/KRAS/DUSP5
hsa04110,Cell cycle,54/344,124/7844,2.753460839658474e-41,2.184412266129056e-39,7.922238205333155e-40,54,kg,NAC,4616/990/545/1647/1028/1869/5111/1017/3066/11200/9088/4173/2033/10912/8555/4171/5885/891/6502/890/1026/898/1875/7272/6500/1111/993/7465/4176/8454/10744/2932/3065/4174/1019/9978/9126/1030/994/995/7027/10459/8317/4088/8243/10735/5591/595/5925/7157/25/8556/4609/896,GADD45B/CDC6/ATR/GADD45A/CDKN1C/E2F1/PCNA/CDK2/HDAC2/CHEK2/PKMYT1/MCM4/EP300/GADD45G/CDC14B/MCM2/RAD21/CCNB1/SKP2/CCNA2/CDKN1A/CCNE1/E2F5/TTK/SKP1/CHEK1/CDC25A/WEE1/MCM7/CUL1/PTTG2/GSK3B/HDAC1/MCM5/CDK4/RBX1/SMC3/CDKN2B/CDC25B/CDC25C/TFDP1/MAD2L2/CDC7/SMAD3/SMC1A/STAG2/PRKDC/CCND1/RB1/TP53/ABL1/CDC14A/MYC/CCND3
GO:0043405,regulation of MAP kinase activity,60/374,335/18493,2.1199175026951048e-39,4.984986007587539e-36,2.302899855559314e-36,60,bp,NAC,10252/3479/4616/80310/2146/2064/1844/10253/1647/2247/1616/84231/4763/10125/10912/7124/5518/7422/6850/4214/3082/3265/7477/5781/5594/2074/2255/5291/81848/6423/8517/51776/7074/9020/5894/5605/11213/3553/958/3480/7474/652/2690/7314/9175/4254/5155/6464/23624/6233/1956/25759/23533/5294/655/6422/1850/5979/3845/1847,SPRY1/IGF1/GADD45B/PDGFD/EZH2/ERBB2/DUSP2/SPRY2/GADD45A/FGF2/DAXX/TRAF7/NF1/RASGRP1/GADD45G/TNF/PPP2R1A/VEGFA/SYK/MAP3K1/HGF/HRAS/WNT7B/PTPN11/MAPK1/ERCC6/FGF10/PIK3CB/SPRY4/SFRP2/IKBKG/MAP3K20/TIAM1/MAP3K14/RAF1/MAP2K2/IRAK3/IL1B/CD40/IGF1R/WNT5A/BMP4/GHR/UBB/MAP3K13/KITLG/PDGFB/SHC1/CBLC/RPS27A/EGFR/SHC2/PIK3R5/PIK3CG/BMP7/SFRP1/DUSP8/RET/KRAS/DUSP5
hsa05165,Human papillomavirus infection,77/344,330/7844,2.0742363356508685e-36,1.2341706197122666e-34,4.4759836716676633e-35,77,kg,NAC,3679/6772/545/8516/8503/1147/1869/8312/2335/2885/1017/3066/836/4893/207/9586/2033/3694/6696/890/1026/898/581/1978/7124/2778/5518/7422/1277/1278/2932/7472/3265/3065/7481/1019/7060/7477/2475/5594/841/5296/7482/1286/3695/1499/5291/3911/3680/148327/8517/6654/7976/5970/3280/63923/3690/5894/5605/7248/182/595/7474/5925/7157/4790/84441/1956/5295/208/3909/3691/896/3655/4853/10000/3845,ITGA7/STAT1/ATR/ITGA8/PIK3R3/CHUK/E2F1/AXIN1/FN1/GRB2/CDK2/HDAC2/CASP3/NRAS/AKT1/CREB5/EP300/ITGB6/SPP1/CCNA2/CDKN1A/CCNE1/BAX/EIF4EBP1/TNF/GNAS/PPP2R1A/VEGFA/COL1A1/COL1A2/GSK3B/WNT2/HRAS/HDAC1/WNT11/CDK4/THBS4/WNT7B/MTOR/MAPK1/CASP8/PIK3R2/WNT2B/COL4A4/ITGB7/CTNNB1/PIK3CB/LAMA5/ITGA9/CREB3L4/IKBKG/SOS1/FZD3/RELA/HES1/TNN/ITGB3/RAF1/MAP2K2/TSC1/JAG1/CCND1/WNT5A/RB1/TP53/NFKB1/MAML2/EGFR/PIK3R1/AKT2/LAMA3/ITGB4/CCND3/ITGA6/NOTCH2/AKT3/KRAS
hsa05220,Chronic myeloid leukemia,40/344,76/7844,7.686423987362787e-35,3.658737817984687e-33,1.3269195093973653e-33,40,kg,NAC,4616/1647/8503/1147/1869/2885/3066/4893/207/10912/1026/581/861/7048/3265/3065/1019/5781/5594/5296/5291/2122/4088/8517/6654/5970/5894/5605/595/5925/7157/4790/6464/25/5295/25759/208/4609/10000/3845,GADD45B/GADD45A/PIK3R3/CHUK/E2F1/GRB2/HDAC2/NRAS/AKT1/GADD45G/CDKN1A/BAX/RUNX1/TGFBR2/HRAS/HDAC1/CDK4/PTPN11/MAPK1/PIK3R2/PIK3CB/MECOM/SMAD3/IKBKG/SOS1/RELA/RAF1/MAP2K2/CCND1/RB1/TP53/NFKB1/SHC1/ABL1/PIK3R1/SHC2/AKT2/MYC/AKT3/KRAS
hsa05224,Breast cancer,52/344,147/7844,2.863834373873217e-34,1.1359876349697094e-32,4.119902081712348e-33,52,kg,NAC,2353/3479/3725/4616/2064/1647/2247/675/8503/1869/8312/2885/54567/4893/207/10912/1026/581/2252/2932/7472/3265/7481/1019/7477/2475/5594/5296/7482/2255/1499/5291/6654/7976/3280/5894/5605/182/595/3480/7474/5925/7157/6464/1956/5295/25759/208/4609/4853/10000/3845,FOS/IGF1/JUN/GADD45B/ERBB2/GADD45A/FGF2/BRCA2/PIK3R3/E2F1/AXIN1/GRB2/DLL4/NRAS/AKT1/GADD45G/CDKN1A/BAX/FGF7/GSK3B/WNT2/HRAS/WNT11/CDK4/WNT7B/MTOR/MAPK1/PIK3R2/WNT2B/FGF10/CTNNB1/PIK3CB/SOS1/FZD3/HES1/RAF1/MAP2K2/JAG1/CCND1/IGF1R/WNT5A/RB1/TP53/SHC1/EGFR/PIK3R1/SHC2/AKT2/MYC/NOTCH2/AKT3/KRAS
hsa05226,Gastric cancer,50/344,149/7844,1.0990305895571073e-31,3.7367040044941645e-30,1.3551956141907187e-30,50,kg,NAC,4616/2064/1647/2247/8503/1869/8312/2885/1017/4893/207/10912/1026/898/581/2252/7048/2932/7472/3082/3265/7481/999/1030/7477/2475/5594/5296/7482/2255/1499/5291/4088/6654/7976/4233/5894/5605/595/7474/5925/7157/6464/1956/5295/25759/208/4609/10000/3845,GADD45B/ERBB2/GADD45A/FGF2/PIK3R3/E2F1/AXIN1/GRB2/CDK2/NRAS/AKT1/GADD45G/CDKN1A/CCNE1/BAX/FGF7/TGFBR2/GSK3B/WNT2/HGF/HRAS/WNT11/CDH1/CDKN2B/WNT7B/MTOR/MAPK1/PIK3R2/WNT2B/FGF10/CTNNB1/PIK3CB/SMAD3/SOS1/FZD3/MET/RAF1/MAP2K2/CCND1/WNT5A/RB1/TP53/SHC1/EGFR/PIK3R1/SHC2/AKT2/MYC/AKT3/KRAS
GO:0071902,positive regulation of protein serine/threonine kinase activity,53/374,323/18493,8.380945546512597e-33,1.313852896841625e-29,6.0695689852638604e-30,53,bp,NAC,3479/4616/990/80310/2146/2064/10253/1647/2247/1616/84231/10125/10912/891/7124/7422/6850/4214/387/3082/3265/7477/5781/5594/2074/2255/5291/8517/51776/7074/9020/5894/5605/3553/595/958/7474/652/2690/7314/9175/4254/5155/6464/6233/1956/25759/23533/5294/896/5979/3845/1847,IGF1/GADD45B/CDC6/PDGFD/EZH2/ERBB2/SPRY2/GADD45A/FGF2/DAXX/TRAF7/RASGRP1/GADD45G/CCNB1/TNF/VEGFA/SYK/MAP3K1/RHOA/HGF/HRAS/WNT7B/PTPN11/MAPK1/ERCC6/FGF10/PIK3CB/IKBKG/MAP3K20/TIAM1/MAP3K14/RAF1/MAP2K2/IL1B/CCND1/CD40/WNT5A/BMP4/GHR/UBB/MAP3K13/KITLG/PDGFB/SHC1/RPS27A/EGFR/SHC2/PIK3R5/PIK3CG/CCND3/RET/KRAS/DUSP5
