ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04010,MAPK signaling pathway,10/23,295/7844,3.606937028431824e-9,4.4365325449711435e-7,2.923517380939478e-7,10,kg,NAC,2353/3164/2318/3479/3725/4616/80310/4804/2247/4915,FOS/NR4A1/FLNC/IGF1/JUN/GADD45B/PDGFD/NGFR/FGF2/NTRK2
GO:0070371,ERK1 and ERK2 cascade,8/24,341/18493,7.002254426757727e-9,9.081923991504772e-6,5.218522246467863e-6,8,bp,NAC,9314/10252/3479/3725/80310/2247/4915/5320,KLF4/SPRY1/IGF1/JUN/PDGFD/FGF2/NTRK2/PLA2G2A
hsa04151,PI3K-Akt signaling pathway,9/23,354/7844,3.270661790631135e-7,2.011457001238148e-5,1.3254787256768284e-5,9,kg,NAC,3164/3679/3479/80310/4804/2247/8516/4915/7060,NR4A1/ITGA7/IGF1/PDGFD/NGFR/FGF2/ITGA8/NTRK2/THBS4
hsa04510,Focal adhesion,7/23,199/7844,1.057247381828186e-6,4.334714265495563e-5,2.856422750904222e-5,7,kg,NAC,3679/2318/3479/3725/80310/8516/7060,ITGA7/FLNC/IGF1/JUN/PDGFD/ITGA8/THBS4
GO:0070372,regulation of ERK1 and ERK2 cascade,7/24,324/18493,1.2725751455583421e-7,8.252649818945849e-5,4.742016858185822e-5,7,bp,NAC,9314/10252/3725/80310/2247/4915/5320,KLF4/SPRY1/JUN/PDGFD/FGF2/NTRK2/PLA2G2A
GO:0061614,pri-miRNA transcription by RNA polymerase II,4/24,44/18493,2.8601792067920077e-7,1.236550810403078e-4,7.105287292662252e-5,4,bp,NAC,2353/9314/3725/4804,FOS/KLF4/JUN/NGFR
hsa05202,Transcriptional misregulation in cancer,6/23,186/7844,1.183036353184323e-5,3.6378367860417937e-4,2.3972052419787599e-4,6,kg,NAC,3479/4616/7102/862/4804/7704,IGF1/GADD45B/TSPAN7/RUNX1T1/NGFR/ZBTB16
GO:0001936,regulation of endothelial cell proliferation,5/24,175/18493,2.6327802897199954e-6,5.691193392944723e-4,3.270190254599573e-4,5,bp,NAC,3164/3725/4804/2247/7060,NR4A1/JUN/NGFR/FGF2/THBS4
GO:0048659,smooth muscle cell proliferation,5/24,170/18493,2.2834591209277147e-6,5.691193392944723e-4,3.270190254599573e-4,5,bp,NAC,9314/3479/3725/80310/2247,KLF4/IGF1/JUN/PDGFD/FGF2
GO:0048660,regulation of smooth muscle cell proliferation,5/24,168/18493,2.154429060530717e-6,5.691193392944723e-4,3.270190254599573e-4,5,bp,NAC,9314/3479/3725/80310/2247,KLF4/IGF1/JUN/PDGFD/FGF2
GO:0001935,endothelial cell proliferation,5/24,190/18493,3.9389635491625995e-6,7.298336747519845e-4,4.193663447830256e-4,5,bp,NAC,3164/3725/4804/2247/7060,NR4A1/JUN/NGFR/FGF2/THBS4
GO:0050678,regulation of epithelial cell proliferation,6/24,368/18493,5.9248071325305675e-6,7.684474850892146e-4,4.415540473506991e-4,6,bp,NAC,3164/3479/3725/4804/2247/7060,NR4A1/IGF1/JUN/NGFR/FGF2/THBS4
GO:0050679,positive regulation of epithelial cell proliferation,5/24,203/18493,5.441564537352945e-6,7.684474850892146e-4,4.415540473506991e-4,5,bp,NAC,3164/3479/3725/2247/7060,NR4A1/IGF1/JUN/FGF2/THBS4
GO:1902895,positive regulation of pri-miRNA transcription by RNA polymerase II,3/24,27/18493,5.503704430150225e-6,7.684474850892146e-4,4.415540473506991e-4,3,bp,NAC,2353/3725/4804,FOS/JUN/NGFR
GO:0018108,peptidyl-tyrosine phosphorylation,6/24,387/18493,7.902530646799395e-6,7.808920674487415e-4,4.487047711347718e-4,6,bp,NAC,3479/9021/80310/2247/4915/7060,IGF1/SOCS3/PDGFD/FGF2/NTRK2/THBS4
GO:0018212,peptidyl-tyrosine modification,6/24,390/18493,8.258834265800429e-6,7.808920674487415e-4,4.487047711347718e-4,6,bp,NAC,3479/9021/80310/2247/4915/7060,IGF1/SOCS3/PDGFD/FGF2/NTRK2/THBS4
GO:0048011,neurotrophin TRK receptor signaling pathway,3/24,31/18493,8.429058553802916e-6,7.808920674487415e-4,4.487047711347718e-4,3,bp,NAC,10252/4804/4915,SPRY1/NGFR/NTRK2
GO:0048661,positive regulation of smooth muscle cell proliferation,4/24,98/18493,7.263006353567808e-6,7.808920674487415e-4,4.487047711347718e-4,4,bp,NAC,3479/3725/80310/2247,IGF1/JUN/PDGFD/FGF2
GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,4/24,106/18493,9.919255781573958e-6,8.576849832467616e-4,4.928303925160956e-4,4,bp,NAC,9314/3479/80310/4915,KLF4/IGF1/PDGFD/NTRK2
GO:0001938,positive regulation of endothelial cell proliferation,4/24,112/18493,1.233717173473395e-5,8.790253693313479e-4,5.050926928430746e-4,4,bp,NAC,3164/3725/2247/7060,NR4A1/JUN/FGF2/THBS4
GO:0033002,muscle cell proliferation,5/24,236/18493,1.1311025250674412e-5,8.790253693313479e-4,5.050926928430746e-4,5,bp,NAC,9314/3479/3725/80310/2247,KLF4/IGF1/JUN/PDGFD/FGF2
GO:0050673,epithelial cell proliferation,6/24,420/18493,1.2595796225045066e-5,8.790253693313479e-4,5.050926928430746e-4,6,bp,NAC,3164/3479/3725/4804/2247/7060,NR4A1/IGF1/JUN/NGFR/FGF2/THBS4
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,5/24,245/18493,1.3554747406805675e-5,8.790253693313479e-4,5.050926928430746e-4,5,bp,NAC,3479/9021/80310/4915/7060,IGF1/SOCS3/PDGFD/NTRK2/THBS4
GO:0070374,positive regulation of ERK1 and ERK2 cascade,5/24,245/18493,1.3554747406805675e-5,8.790253693313479e-4,5.050926928430746e-4,5,bp,NAC,3725/80310/2247/4915/5320,JUN/PDGFD/FGF2/NTRK2/PLA2G2A
GO:1902893,regulation of pri-miRNA transcription by RNA polymerase II,3/24,37/18493,1.4496086237829106e-5,8.953058976411595e-4,5.144475717485216e-4,3,bp,NAC,2353/3725/4804,FOS/JUN/NGFR
hsa04014,Ras signaling pathway,6/23,232/7844,4.1515035516164965e-5,9.723437527606177e-4,6.407399996796538e-4,6,kg,NAC,3479/80310/4804/2247/4915/5320,IGF1/PDGFD/NGFR/FGF2/NTRK2/PLA2G2A
hsa05218,Melanoma,4/23,72/7844,5.0646636796742876e-5,9.723437527606177e-4,6.407399996796538e-4,4,kg,NAC,3479/4616/80310/2247,IGF1/GADD45B/PDGFD/FGF2
hsa05224,Breast cancer,5/23,147/7844,5.533663633597011e-5,9.723437527606177e-4,6.407399996796538e-4,5,kg,NAC,2353/3479/3725/4616/2247,FOS/IGF1/JUN/GADD45B/FGF2
GO:0038179,neurotrophin signaling pathway,3/24,39/18493,1.7021137813141658e-5,0.0010034734428929423,5.766012235265212e-4,3,bp,NAC,10252/4804/4915,SPRY1/NGFR/NTRK2
GO:0001822,kidney development,5/24,271/18493,2.203444937371188e-5,0.0012425513407697524,7.139766662054008e-4,5,bp,NAC,10252/80310/2247/8516/7704,SPRY1/PDGFD/FGF2/ITGA8/ZBTB16
GO:0014065,phosphatidylinositol 3-kinase signaling,4/24,136/18493,2.6524777889463587e-5,0.0014334432051097612,8.236641555149219e-4,4,bp,NAC,9314/3479/80310/4915,KLF4/IGF1/PDGFD/NTRK2
GO:0072001,renal system development,5/24,286/18493,2.8531335699758703e-5,0.0014802056961034816,8.505341337022805e-4,5,bp,NAC,10252/80310/2247/8516/7704,SPRY1/PDGFD/FGF2/ITGA8/ZBTB16
GO:1904707,positive regulation of vascular smooth muscle cell proliferation,3/24,48/18493,3.1967346925995216e-5,0.0015946788062698384,9.163109969070693e-4,3,bp,NAC,3479/3725/2247,IGF1/JUN/FGF2
GO:0043551,regulation of phosphatidylinositol 3-kinase activity,3/24,54/18493,4.561036541630373e-5,0.0021909868127757753,0.0012589527764032373,3,bp,NAC,9314/9021/2247,KLF4/SOCS3/FGF2
GO:0048146,positive regulation of fibroblast proliferation,3/24,55/18493,4.820066924302975e-5,0.0022327238574360564,0.0012829351061678592,3,bp,NAC,3479/3725/80310,IGF1/JUN/PDGFD
GO:0001655,urogenital system development,5/24,322/18493,5.0235044184577136e-5,0.0022467190450826393,0.0012909768160682617,5,bp,NAC,10252/80310/2247/8516/7704,SPRY1/PDGFD/FGF2/ITGA8/ZBTB16
GO:0034614,cellular response to reactive oxygen species,4/24,162/18493,5.2588802956181266e-5,0.0022735892478055702,0.001306416578700924,4,bp,NAC,2353/9314/3725/80310,FOS/KLF4/JUN/PDGFD
GO:0048015,phosphatidylinositol-mediated signaling,4/24,164/18493,5.516386420793812e-5,0.0023079848992805076,0.0013261805045575617,4,bp,NAC,9314/3479/80310/4915,KLF4/IGF1/PDGFD/NTRK2
GO:0043405,regulation of MAP kinase activity,5/24,335/18493,6.061914797705487e-5,0.002382516209886066,0.0013690065954626745,5,bp,NAC,10252/3479/4616/80310/2247,SPRY1/IGF1/GADD45B/PDGFD/FGF2
GO:0048017,inositol lipid-mediated signaling,4/24,167/18493,5.919775592262248e-5,0.002382516209886066,0.0013690065954626745,4,bp,NAC,9314/3479/80310/4915,KLF4/IGF1/PDGFD/NTRK2
GO:0043550,regulation of lipid kinase activity,3/24,63/18493,7.246434710848305e-5,0.002764301711755956,0.0015883825929661297,3,bp,NAC,9314/9021/2247,KLF4/SOCS3/FGF2
GO:1901653,cellular response to peptide,5/24,356/18493,8.082354610875008e-5,0.0029950896943728243,0.0017209946058645129,5,bp,NAC,3164/9314/3479/9021/4804,NR4A1/KLF4/IGF1/SOCS3/NGFR
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,4/24,186/18493,8.993997576204287e-5,0.0032403374600936,0.0018619152877054487,4,bp,NAC,3479/9021/4915/7060,IGF1/SOCS3/NTRK2/THBS4
GO:0002040,sprouting angiogenesis,4/24,189/18493,9.568497877824029e-5,0.0033541464182534502,0.0019273105256043845,4,bp,NAC,3164/9314/4804/2247,NR4A1/KLF4/NGFR/FGF2
GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,3/24,70/18493,9.929560001026405e-5,0.003389115610876644,0.001947404011281633,3,bp,NAC,3479/80310/4915,IGF1/PDGFD/NTRK2
GO:0001933,negative regulation of protein phosphorylation,5/24,408/18493,1.533402416654154e-4,0.005099545985642148,0.002930226480407938,5,bp,NAC,9314/10252/9021/3725/4616,KLF4/SPRY1/SOCS3/JUN/GADD45B
GO:0045444,fat cell differentiation,4/24,217/18493,1.6296376465061002e-4,0.0052841000687960295,0.0030362722466482075,4,bp,NAC,3164/9314/862/7704,NR4A1/KLF4/RUNX1T1/ZBTB16
GO:0000302,response to reactive oxygen species,4/24,224/18493,1.840717310220365e-4,0.005343279257375663,0.003070276925879129,4,bp,NAC,2353/9314/3725/80310,FOS/KLF4/JUN/PDGFD
GO:0051781,positive regulation of cell division,3/24,84/18493,1.7079270054404138e-4,0.005343279257375663,0.003070276925879129,3,bp,NAC,80310/2247/7060,PDGFD/FGF2/THBS4
GO:1901342,regulation of vasculature development,5/24,421/18493,1.7750839899643514e-4,0.005343279257375663,0.003070276925879129,5,bp,NAC,9314/80310/4804/2247/7060,KLF4/PDGFD/NGFR/FGF2/THBS4
GO:1903725,regulation of phospholipid metabolic process,3/24,86/18493,1.8312827925617e-4,0.005343279257375663,0.003070276925879129,3,bp,NAC,9314/9021/2247,KLF4/SOCS3/FGF2
GO:1904705,regulation of vascular smooth muscle cell proliferation,3/24,87/18493,1.895072057357598e-4,0.005343279257375663,0.003070276925879129,3,bp,NAC,3479/3725/2247,IGF1/JUN/FGF2
GO:1990874,vascular smooth muscle cell proliferation,3/24,87/18493,1.895072057357598e-4,0.005343279257375663,0.003070276925879129,3,bp,NAC,3479/3725/2247,IGF1/JUN/FGF2
GO:0007265,Ras protein signal transduction,5/24,430/18493,1.9588012662088273e-4,0.005405457962282657,0.003106005143282978,5,bp,NAC,10252/3479/3725/4804/2247,SPRY1/IGF1/JUN/NGFR/FGF2
GO:0048145,regulation of fibroblast proliferation,3/24,90/18493,2.095054673599746e-4,0.00566101231595598,0.003252848045852237,3,bp,NAC,3479/3725/80310,IGF1/JUN/PDGFD
GO:0048144,fibroblast proliferation,3/24,91/18493,2.16463387505921e-4,0.0057296533386771336,0.0032922895457398946,3,bp,NAC,3479/3725/80310,IGF1/JUN/PDGFD
GO:0008083,growth factor activity,4/23,166/17632,5.834581832670363e-5,0.005951273469323771,0.0033779157978617897,4,mf,NAC,3479/80310/2247/7060,IGF1/PDGFD/FGF2/THBS4
GO:0042326,negative regulation of phosphorylation,5/24,448/18493,2.3696788011493496e-4,0.006146946810181414,0.0035320686130815566,5,bp,NAC,9314/10252/9021/3725/4616,KLF4/SPRY1/SOCS3/JUN/GADD45B
GO:0071560,cellular response to transforming growth factor beta stimulus,4/24,242/18493,2.473721212256925e-4,0.006291012573131827,0.0036148495733290048,4,bp,NAC,2353/3725/80310/8516,FOS/JUN/PDGFD/ITGA8
GO:0001823,mesonephros development,3/24,101/18493,2.944225817293971e-4,0.006583898077638414,0.0037831431554339956,3,bp,NAC,10252/2247/7704,SPRY1/FGF2/ZBTB16
GO:0002042,cell migration involved in sprouting angiogenesis,3/24,101/18493,2.944225817293971e-4,0.006583898077638414,0.0037831431554339956,3,bp,NAC,3164/9314/2247,NR4A1/KLF4/FGF2
GO:0007611,learning or memory,4/24,247/18493,2.6743224399653945e-4,0.006583898077638414,0.0037831431554339956,4,bp,NAC,2353/3725/8516/4915,FOS/JUN/ITGA8/NTRK2
GO:0007631,feeding behavior,3/24,101/18493,2.944225817293971e-4,0.006583898077638414,0.0037831431554339956,3,bp,NAC,2353/3953/4915,FOS/LEPR/NTRK2
GO:0035994,response to muscle stretch,2/24,19/18493,2.723255100165129e-4,0.006583898077638414,0.0037831431554339956,2,bp,NAC,2353/3725,FOS/JUN
GO:0043491,protein kinase B signaling,4/24,253/18493,2.9302213417924377e-4,0.006583898077638414,0.0037831431554339956,4,bp,NAC,9314/3479/2247/4915,KLF4/IGF1/FGF2/NTRK2
GO:0071559,response to transforming growth factor beta,4/24,249/18493,2.757753900442471e-4,0.006583898077638414,0.0037831431554339956,4,bp,NAC,2353/3725/80310/8516,FOS/JUN/PDGFD/ITGA8
