ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
GO:0030198,extracellular matrix organization,6/18,348/18493,6.523355957691209e-7,5.916683853625927e-4,3.6736794077524184e-4,6,bp,NAC,1301/2335/3694/6696/2264/4316,COL11A1/FN1/ITGB6/SPP1/FGFR4/MMP7
GO:0043062,extracellular structure organization,6/18,402/18493,1.5124032626251329e-6,6.858748796004977e-4,4.258609186865506e-4,6,bp,NAC,1301/2335/3694/6696/2264/4316,COL11A1/FN1/ITGB6/SPP1/FGFR4/MMP7
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,3/18,29/18493,2.784746867711795e-6,8.41921803004866e-4,5.2275072779853e-4,3,bp,NAC,990/1869/898,CDC6/E2F1/CCNE1
GO:0008201,heparin binding,4/18,163/17632,1.946944118480378e-5,0.0024142107069156688,0.001434590403090805,4,mf,NAC,1301/2335/2264/4316,COL11A1/FN1/FGFR4/MMP7
hsa04151,PI3K-Akt signaling pathway,6/17,354/7844,6.562135605969266e-5,0.0026576649204175526,0.0017614153468654347,6,kg,NAC,2064/2335/3694/6696/898/2264,ERBB2/FN1/ITGB6/SPP1/CCNE1/FGFR4
hsa05165,Human papillomavirus infection,6/17,330/7844,4.422515151431319e-5,0.0026576649204175526,0.0017614153468654347,6,kg,NAC,6772/1869/2335/3694/6696/898,STAT1/E2F1/FN1/ITGB6/SPP1/CCNE1
hsa04110,Cell cycle,4/17,124/7844,1.2073868597180617e-4,0.0032599445212387664,0.002160587012127058,4,kg,NAC,990/1869/9088/898,CDC6/E2F1/PKMYT1/CCNE1
GO:0005539,glycosaminoglycan binding,4/18,222/17632,6.515833585296175e-5,0.003763173705082682,0.002236181318809743,4,mf,NAC,1301/2335/2264/4316,COL11A1/FN1/FGFR4/MMP7
GO:1901681,sulfur compound binding,4/18,242/17632,9.104452512296812e-5,0.003763173705082682,0.002236181318809743,4,mf,NAC,1301/2335/2264/4316,COL11A1/FN1/FGFR4/MMP7
GO:0048146,positive regulation of fibroblast proliferation,3/18,55/18493,1.9680006767751762e-5,0.004462441534587712,0.002770737794933472,3,bp,NAC,990/1869/2335,CDC6/E2F1/FN1
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,3/18,87/18493,7.797761535028623e-5,0.006041455281408087,0.003751150206642287,3,bp,NAC,990/9088/898,CDC6/PKMYT1/CCNE1
GO:0000280,nuclear division,5/18,416/18493,3.7828051109228236e-5,0.006041455281408087,0.003751150206642287,5,bp,NAC,990/83990/2175/9088/898,CDC6/BRIP1/FANCA/PKMYT1/CCNE1
GO:0048144,fibroblast proliferation,3/18,91/18493,8.915582886881212e-5,0.006041455281408087,0.003751150206642287,3,bp,NAC,990/1869/2335,CDC6/E2F1/FN1
GO:0048145,regulation of fibroblast proliferation,3/18,90/18493,8.626912519696272e-5,0.006041455281408087,0.003751150206642287,3,bp,NAC,990/1869/2335,CDC6/E2F1/FN1
GO:0048285,organelle fission,5/18,458/18493,5.981533842501425e-5,0.006041455281408087,0.003751150206642287,5,bp,NAC,990/83990/2175/9088/898,CDC6/BRIP1/FANCA/PKMYT1/CCNE1
GO:0051321,meiotic cell cycle,4/18,249/18493,8.462311872109383e-5,0.006041455281408087,0.003751150206642287,4,bp,NAC,83990/2175/9088/898,BRIP1/FANCA/PKMYT1/CCNE1
GO:0071900,regulation of protein serine/threonine kinase activity,5/18,496/18493,8.72606516762289e-5,0.006041455281408087,0.003751150206642287,5,bp,NAC,990/2146/2064/9088/898,CDC6/EZH2/ERBB2/PKMYT1/CCNE1
GO:0072160,nephron tubule epithelial cell differentiation,2/18,15/18493,9.325289298755591e-5,0.006041455281408087,0.003751150206642287,2,bp,NAC,6772/8842,STAT1/PROM1
GO:0072182,regulation of nephron tubule epithelial cell differentiation,2/18,13/18493,6.935353959833934e-5,0.006041455281408087,0.003751150206642287,2,bp,NAC,6772/8842,STAT1/PROM1
GO:1904029,regulation of cyclin-dependent protein kinase activity,3/18,91/18493,8.915582886881212e-5,0.006041455281408087,0.003751150206642287,3,bp,NAC,990/9088/898,CDC6/PKMYT1/CCNE1
GO:0000082,G1/S transition of mitotic cell cycle,4/18,263/18493,1.0456222697616106e-4,0.006322529324491872,0.003925669574192714,4,bp,NAC,990/2146/1869/898,CDC6/EZH2/E2F1/CCNE1
GO:0044843,cell cycle G1/S phase transition,4/18,282/18493,1.3683459601608906e-4,0.007300528152152516,0.0045329107658580595,4,bp,NAC,990/2146/1869/898,CDC6/EZH2/E2F1/CCNE1
GO:2000696,regulation of epithelial cell differentiation involved in kidney development,2/18,18/18493,1.3564787196443406e-4,0.007300528152152516,0.0045329107658580595,2,bp,NAC,6772/8842,STAT1/PROM1
GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,2/18,24/17632,2.6808438484584484e-4,0.00831061593022119,0.004938396562949774,2,mf,NAC,6772/2146,STAT1/EZH2
hsa04510,Focal adhesion,4/17,199/7844,7.379817801709135e-4,0.009962754032307333,0.006602994875213437,4,kg,NAC,2064/2335/3694/6696,ERBB2/FN1/ITGB6/SPP1
hsa04512,ECM-receptor interaction,3/17,82/7844,6.736837183379979e-4,0.009962754032307333,0.006602994875213437,3,kg,NAC,2335/3694/6696,FN1/ITGB6/SPP1
hsa05212,Pancreatic cancer,3/17,75/7844,5.18513448574152e-4,0.009962754032307333,0.006602994875213437,3,kg,NAC,6772/2064/1869,STAT1/ERBB2/E2F1
hsa05215,Prostate cancer,3/17,97/7844,0.0010992502043806257,0.011129908319353834,0.007376547424133146,3,kg,NAC,2064/1869/898,ERBB2/E2F1/CCNE1
hsa05222,Small cell lung cancer,3/17,93/7844,9.726849066587479e-4,0.011129908319353834,0.007376547424133146,3,kg,NAC,1869/2335/898,E2F1/FN1/CCNE1
GO:1904385,cellular response to angiotensin,2/18,24/18493,2.438529034480684e-4,0.012287476857077668,0.007629315985071146,2,bp,NAC,990/83990,CDC6/BRIP1
GO:1990776,response to angiotensin,2/18,27/18493,3.0958130089731896e-4,0.014778433679677279,0.009175955455959317,2,bp,NAC,990/83990,CDC6/BRIP1
GO:0001046,core promoter sequence-specific DNA binding,2/18,38/17632,6.770823658849847e-4,0.016791642673947622,0.00997805591830504,2,mf,NAC,6772/2146,STAT1/EZH2
GO:0030856,regulation of epithelial cell differentiation,3/18,151/18493,3.979854702815596e-4,0.018048641077268727,0.011206432978980758,3,bp,NAC,6772/2146/8842,STAT1/EZH2/PROM1
GO:0001047,core promoter binding,2/18,47/17632,0.0010354985234279008,0.018343116700722816,0.010899984457135798,2,mf,NAC,6772/2146,STAT1/EZH2
GO:1990841,promoter-specific chromatin binding,2/18,46/17632,9.920340790531142e-4,0.018343116700722816,0.010899984457135798,2,mf,NAC,6772/2146,STAT1/EZH2
GO:0006270,DNA replication initiation,2/18,32/18493,4.3621175784675956e-4,0.018591514769555284,0.011543504209031602,2,bp,NAC,990/898,CDC6/CCNE1
GO:0031570,DNA integrity checkpoint,3/18,158/18493,4.54405213278692e-4,0.018591514769555284,0.011543504209031602,3,bp,NAC,990/83990/1869,CDC6/BRIP1/E2F1
GO:0045787,positive regulation of cell cycle,4/18,390/18493,4.714496578828794e-4,0.018591514769555284,0.011543504209031602,4,bp,NAC,990/2146/1869/898,CDC6/EZH2/E2F1/CCNE1
GO:2000045,regulation of G1/S transition of mitotic cell cycle,3/18,166/18493,5.249073576912197e-4,0.019837123892747343,0.012316905103719411,3,bp,NAC,990/2146/1869,CDC6/EZH2/E2F1
