"","logFC","negLogPval","Gene"
"1",4.25910109768243,109.572023201368,"FOS"
"2",3.37757500435543,78.3910022844025,"NR4A1"
"3",2.60488686948512,46.9167439044285,"NR4A3"
"4",1.68648300810068,31.5993064786619,"KLF4"
"5",1.75653741965692,30.0856650961747,"ITGA7"
"6",1.88471773466285,25.9082095030839,"FLNC"
"7",1.30285097651842,22.8815343198662,"SPRY1"
"8",1.77929121121694,22.28121149444,"IGF1"
"9",1.68254423657776,21.6777706233154,"SOCS3"
"10",1.4232600625392,21.1459950193508,"JUN"
"11",1.22703631989877,21.0300082550725,"GADD45B"
"12",1.49446829444305,19.6628398111536,"TSPAN7"
"13",-1.47091415732839,19.3716102793479,"STAT1"
"16",1.25799578064804,16.7062512262541,"RUNX1T1"
"17",-1.79745887472288,16.5316124584211,"CDC6"
"18",1.23437476609072,16.0727490063601,"PDGFD"
"19",1.71485307699399,15.1997068737048,"SFRP4"
"20",1.46219829745575,15.1928671560939,"NGFR"
"22",-1.30672704473215,13.6849013581474,"CCNE2"
"23",1.12833096299011,13.6091505339155,"LIFR"
"24",-1.04769201489509,12.4957322275054,"HELLS"
"27",1.22830046282306,12.2332820695695,"DKK2"
"29",-1.00947885740706,11.9913087814255,"EZH2"
"32",-2.13493327987836,11.5482315602472,"ERBB2"
"37",-1.04639838252712,11.0051945797187,"BRIP1"
"39",1.08686002343114,10.1110097703371,"LEPR"
"42",-1.58389365306103,9.53663259674104,"CACNG4"
"44",1.13443062758718,9.39459989919049,"FGF2"
"45",1.12345598613688,9.38581890778021,"ITGA8"
"53",-1.58043774181448,8.988270781198,"COL11A1"
"57",-1.05579183310157,8.78610397001827,"E2F1"
"68",-1.15995175221151,8.43292307738303,"FN1"
"78",-1.05311546081516,7.99738809019135,"FANCA"
"87",-1.00463544975624,7.7628672067076,"PKMYT1"
"109",1.3576919584756,6.79504477223818,"ZBTB16"
"117",-1.1799268391133,6.45147612117688,"ITGB6"
"123",-1.3634130196878,6.32527744414148,"SPP1"
"129",-1.0411532277426,6.14948603168822,"CCNE1"
"178",1.00238942938,5.04413465197464,"NTRK2"
"181",-1.06521713432029,5.01225733427167,"FGFR4"
"208",1.0461534025519,4.18481620682222,"THBS4"
"241",-1.22021725540548,3.32100034380574,"MMP7"
"249",-1.12077767403211,3.27337085826519,"PROM1"
"252",1.14188673045818,3.23560251222535,"PLA2G2A"
